ticker,filing_date,start_date,start_price,return_1m,return_3m,negative_density,positive_density,word_count,negative_density_change,positive_density_change
ULTA,2010-03-31,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.00953641485101473,0.007534107106495622,29466,0.0001748009225913498,3.790702358833983e-05
ULTA,2009-04-02,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.00936161392842338,0.007496200082907282,28948,0.0008787071675830978,-0.0010595213282406412
CL,2026-02-23,2026-02-23,96.5002670288086,-0.1294541803945975,-0.0610388613401307,0.011312268076014842,0.011941976835713483,44465,0.0007445883033531629,-0.0004239845789347427
CL,2025-02-13,2025-02-13,85.11074829101562,0.0337322766716303,0.0271375831911331,0.01056767977266168,0.012365961414648225,45043,1.75179603639445e-05,0.0003055514901606302
CL,2024-02-15,2024-02-15,79.33147430419922,0.0562401815325537,0.1377079639762322,0.010550161812297735,0.012060409924487595,46350,0.0004427152609145536,0.0005686826497628035
CL,2023-02-16,2023-02-16,67.35970306396484,0.0042599528302902,0.1020925315079186,0.010107446551383181,0.011491727274724792,45511,0.0006620819424033707,-0.0017810244151449436
CL,2022-02-17,2022-02-17,71.47286987304688,-0.0631710277823915,-0.0453497894768752,0.00944536460897981,0.013272751689869735,44678,-0.0004636301877614154,-0.0017565814223423747
CL,2021-02-18,2021-02-18,69.5071029663086,-0.0475099158272903,0.0629891986496802,0.009908994796741226,0.01502933311221211,48239,-0.00017245957700449434,0.00036754583798238524
CL,2020-02-21,2020-02-21,65.8118667602539,-0.2071588493191529,-0.0732005787556429,0.01008145437374572,0.014661787274229725,42355,-0.00018543363544850852,-0.004722710235666842
CL,2019-02-21,2019-02-21,56.16667938232422,-0.0104950108525282,0.0791348920567698,0.010266888009194229,0.019384497509896566,39155,0.00029534216778209603,-0.0003823294737108178
