ticker,filing_date,start_date,start_price,return_1m,return_3m,negative_density,positive_density,word_count,negative_density_change,positive_density_change,momentum_3m
LYV,2015-02-26,2018-01-02,42.650001525878906,0.0778428974453782,-0.0989449254331805,0.0096837906767147,0.0062129666915952,52149,-5.136914063679984e-05,0.0004778068742436,
LYV,2014-02-24,2018-01-02,42.650001525878906,0.0778428974453782,-0.0989449254331805,0.0097351598173515,0.0057351598173515,54750,0.0002976300167892,0.0003094022665056,
DASH,2026-02-18,2026-02-18,173.3800048828125,-0.08143966996379,-0.108028668005793,0.0136920827710301,0.0069444444444444,71136,-0.0009818222331856,-0.000643976187776,-0.21559725999461343
DASH,2025-02-14,2025-02-14,213.3800048828125,-0.1320179844611784,-0.0533321052694808,0.0146739050042157,0.0075884206322204,67603,-0.0001677551907967,0.0001532090810368,0.1651651254416977
DASH,2024-02-20,2024-02-20,115.4800033569336,0.194232764575245,-0.0131624889874899,0.0148416601950125,0.0074352115511835,69534,0.0002194233094961,-4.746743265012475e-05,0.22000217272070532
DASH,2023-02-27,2023-02-27,54.18999862670898,0.0894999522370889,0.2445101337973951,0.0146222368855163,0.0074826789838337,75775,-0.0001999236327965,0.0001310989230112,-0.026334422591852702
GPC,2026-02-20,2026-02-20,115.7275161743164,-0.1361534988278775,-0.1655581183727977,0.0121763214966946,0.0079172219173786,38271,0.0006620694113356,-0.0008847841212068,-0.04666111166882114
GPC,2025-02-21,2025-02-21,115.5109634399414,0.0002887005917271,0.0518490675155824,0.0115142520853589,0.0088020060385855,39082,0.0009513573557746,5.934904308097476e-05,0.0006213291174075319
GPC,2024-02-22,2024-02-22,134.81381225585938,0.0738708917259884,0.0305384465110867,0.0105628947295843,0.0087426569955045,36259,-4.303415853176493e-05,-0.0005882421902151,0.05928298541064003
GPC,2023-02-23,2023-02-23,161.69229125976562,-0.1223853804583441,-0.1143298278911498,0.0106059288881161,0.0093308991857196,34509,-1.3019381289516851e-05,0.0010390252222039,-0.04129043974725588
GPC,2022-02-17,2022-02-17,112.01158142089844,0.0125045788662285,0.0418663329333308,0.0106189482694056,0.0082918739635157,37386,-0.0003478183280781,0.0006817578900281,-0.04341443097935194
GPC,2021-02-19,2021-02-19,87.47320556640625,0.1350983943883483,0.2874552300823145,0.0109667665974837,0.0076101160734875,39027,0.0004600228026604,0.0008220512622253,0.03483079355179064
GPC,2020-02-21,2020-02-21,79.47235107421875,-0.4726212487759922,-0.190946854059866,0.0105067437948233,0.0067880648112622,33883,0.0028453404499667,-0.0014650729382783,-0.0403761716992993
LEN,2026-01-28,2026-01-28,109.71604919433594,0.0368300518291804,-0.1914583168471191,0.0092464001169505,0.0052262261530589,54724,0.0002671243591512,-0.0002867172793475,-0.14488813231376851
LEN,2025-01-23,2025-01-23,130.97105407714844,-0.1059994973972189,-0.1812267492330181,0.0089792757577992,0.0055129434324065,54236,0.0003582444049909,6.286614040128778e-05,-0.2214897697636694
LEN,2024-01-26,2024-01-26,138.5296173095703,0.0369994438616991,0.0432718335501967,0.0086210313528082,0.0054500772920052,50458,1.7606331350804305e-05,-0.0001901728408267,0.45145772890422253
LEN,2023-01-26,2023-01-26,92.18143463134766,-0.0411919646792173,0.120524018190087,0.0086034250214574,0.0056402501328319,48934,0.0003744446994538,-8.42579172574678e-05,0.26005106926066257
LEN,2022-01-28,2022-01-28,84.5337142944336,-0.0329693051527152,-0.1772164682626891,0.0082289803220035,0.0057245080500894,47515,0.0001738417355641,0.000946394347897,-0.08165409841365412
LEN,2021-01-22,2021-01-22,75.47950744628906,0.0145638693048291,0.2101927071488136,0.0080551385864394,0.0047781137021924,47299,0.0004571169392457,0.0006565453558373,0.04382606359137031
LEN,2020-01-27,2020-01-27,59.55335235595703,-0.0367069159162501,-0.3239344398385965,0.0075980216471937,0.0041215683463551,55804,0.0001209832838527,-0.0011173321476931,0.07740681440037056
LEN,2019-01-28,2019-01-28,39.23738479614258,0.0970348085159753,0.1725085299263211,0.0074770383633409,0.0052389004940482,60318,-0.0007062416353853,-0.0009383614505156,0.14832234191175453
LEN,2018-01-25,2018-01-25,60.145729064941406,-0.1317362728693545,-0.2065151664486775,0.0081832799987263,0.0061772619445638,62811,0.0008487622091039,0.0004068338699127,
LEN,2017-01-20,2018-01-02,56.92490005493164,-0.0302978297031712,-0.0306062896477075,0.0073345177896223,0.0057704280746511,65853,-0.0003429956266384,-0.0002319915053346,
LULU,2026-03-17,2026-03-17,159.27000427246094,0.0229170201454906,-0.2748163690482749,0.0110308601444517,0.0074852265265922,38075,-0.0003911406221254,-0.0011515436280008,-0.2198370361040054
LULU,2025-03-27,2025-03-27,341.5299987792969,-0.2137733435615576,-0.3118613149284867,0.0114220007665772,0.008636770154593,39135,-0.0001533873421178,-0.0030373419465002,-0.11916864286737439
LULU,2024-03-21,2024-03-21,478.8399963378906,-0.2444448849055063,-0.3488012494591517,0.0115753881086951,0.0116741121010933,40517,0.0005098558489969,0.0023810907296763,-0.07459653287163381
LULU,2023-03-28,2023-03-28,320.3099975585937,0.1803564966875697,0.1746433232424264,0.0110655322596981,0.0092930213714169,39492,0.0006623106168668,0.0004386664744166,0.018231984721032157
LULU,2022-03-29,2022-03-29,343.9700012207031,0.0536674459678638,-0.1773119458613534,0.0104032216428313,0.0088543548970003,38738,0.0015357985619767,0.0013157675516052,-0.17069514658613072
LULU,2021-03-30,2021-03-30,317.0899963378906,0.081396442198355,0.1563278813482247,0.0088674230808545,0.007538587345395,39132,-0.0008289640961681,0.0005277884535536,-0.10018210142578654
LULU,2020-03-26,2020-03-26,200.8000030517578,0.129930258672186,0.4697709183138825,0.0096963871770226,0.0070107988918414,35374,-0.0012217408247644,-0.0027903850688421,-0.15460858337702732
LULU,2019-03-27,2019-03-27,146.8000030517578,0.2063350998395643,0.207833745726006,0.0109181280017871,0.0098011839606835,35812,0.0003951053346274,-9.614546680711614e-05,0.2675260008022786
LULU,2018-03-27,2018-03-27,78.70999908447266,0.2504128994248829,0.610849985901468,0.0105230226671596,0.0098973294274906,35161,0.0020217200482099,-0.000420783831799,
LULU,2017-03-29,2018-01-02,79.69000244140625,-0.0110428517486812,0.1072906909326529,0.0085013026189496,0.0103181132592897,29172,-0.0001080359812731,0.0004258143970729,
