ticker,filing_date,start_date,start_price,return_1m,return_3m
KMB,2020-02-13,2020-02-13,114.04539489746094,-0.06253058069094541,-0.04944716265375315
KMB,2019-02-07,2019-02-07,86.5573501586914,0.046597318964905377,0.12500972874539062
KMB,2018-02-08,2018-02-08,82.22570037841797,0.021405175436537194,-0.06198003300769461
PEP,2026-02-03,2026-02-03,159.7274627685547,-0.013202458296550201,-0.03945271157087016
PEP,2025-02-04,2025-02-04,135.33065795898438,0.07749686267833122,-0.08080043702637141
PEP,2024-02-09,2024-02-09,153.22886657714844,-0.011178940624120282,0.08046757983737707
PEP,2023-02-09,2023-02-09,153.4923858642578,0.012176521235074844,0.13821072826605718
PEP,2022-02-10,2022-02-10,145.6770782470703,-0.06803264616779159,0.01871334028064875
PEP,2021-02-11,2021-02-11,113.46373748779295,-0.006503397443194836,0.0931224813690823
PEP,2020-02-13,2020-02-13,119.64462280273438,-0.22268305311929681,-0.08528305592505059
PEP,2019-02-15,2019-02-15,91.95336151123048,0.0270689651310001,0.13509002397923542
PEP,2018-02-13,2018-02-13,86.10356903076172,0.006042743926930161,-0.1304135554101019
PEP,2017-02-15,2018-01-02,90.6490707397461,0.01897335828517388,-0.0598485635928967
PEP,2016-02-11,2018-01-02,90.6490707397461,0.01897335828517388,-0.0598485635928967
PEP,2015-02-12,2018-01-02,90.6490707397461,0.01897335828517388,-0.0598485635928967
PM,2026-02-06,2026-02-06,179.70266723632812,-0.05437338254566493,-0.05630749238727639
PM,2025-02-06,2025-02-06,137.97512817382812,0.03626473595656354,0.1940422930441219
PM,2024-02-08,2024-02-08,80.47713470458984,0.06066731707169093,0.13290882255044156
PM,2023-02-10,2023-02-10,87.65290069580078,-0.04894505894894008,-0.05823285394932354
PM,2022-02-11,2022-02-11,87.69751739501953,-0.14171918874882128,-0.019611491881163512
PM,2021-02-09,2021-02-09,66.0866928100586,0.01167832567450322,0.15142491181426254
PM,2020-02-07,2020-02-07,63.329864501953125,-0.0311035527779826,-0.1619116270149331
PM,2019-02-07,2019-02-07,52.45342254638672,0.16303912264051457,0.1076862770765834
PM,2018-02-13,2018-02-13,66.73480987548828,0.018825628939535655,-0.2159911353122448
APA,2026-02-26,2026-02-26,28.90651512145996,0.5254295532419302,0.26372890768065327
APA,2025-02-28,2025-02-28,19.551897048950195,0.01545875575868294,-0.16478985837725257
APA,2024-02-22,2024-02-22,27.52933692932129,0.10721379676069942,0.004767447169570005
APA,2023-02-23,2023-02-23,34.686431884765625,-0.1178426102295872,-0.11546502522864144
APA,2022-02-22,2022-02-22,27.032922744750977,0.3115335830986683,0.4263805280406736
PSX,2026-02-20,2026-02-20,153.36654663085938,0.14422581566267345,0.13486289464860812
PSX,2025-02-21,2025-02-21,122.22208404541016,-0.009088699905798414,-0.10625476711985526
PSX,2024-02-21,2024-02-21,132.87258911132812,0.10818531321651581,0.012090118234649783
PSX,2023-02-22,2023-02-22,88.76140594482422,-0.05961586314753953,-0.027902719024663236
PSX,2022-02-18,2022-02-18,72.93745422363281,-0.0620665690521961,0.11383717546483507
PSX,2021-02-24,2021-02-24,71.47261810302734,-0.0551286024137978,-0.03587786968463802
PSX,2020-02-21,2020-02-21,69.295166015625,-0.528403310661551,-0.12527414888332222
PSX,2019-02-22,2019-02-22,72.84839630126953,-0.015406898653541945,-0.14629034124618978
PSX,2018-02-23,2018-02-23,66.6607894897461,0.045410039619505405,0.3024616237187352
PSX,2017-02-17,2018-01-02,73.30451202392578,-0.008747244141937949,-0.04943699470731622
PSX,2016-02-19,2018-01-02,73.30451202392578,-0.008747244141937949,-0.04943699470731622
TRGP,2026-02-19,2026-02-19,223.03982543945312,0.0591095876634673,0.21363976997412215
TRGP,2025-02-20,2025-02-20,199.0023193359375,-0.03566198142957988,-0.2121374047908665
TRGP,2024-02-15,2024-02-15,88.85903930664062,0.15106690757703412,0.25313756446762103
TRGP,2023-02-22,2023-02-22,70.22948455810547,-0.11527270858747174,-0.05452303223890964
TRGP,2022-02-24,2022-02-24,56.58977127075195,0.2181965098109031,0.1404151990179221
TRGP,2021-02-18,2021-02-18,26.5764102935791,0.09813880641693462,0.2937635413669586
TRGP,2020-02-20,2020-02-20,34.65975570678711,-0.8149555979756208,-0.5563184147829036
TRGP,2019-03-01,2019-03-01,33.40715408325195,0.01581949612245981,-0.05750321011112203
TRGP,2018-02-16,2018-02-16,35.55410385131836,-0.030891296895645515,0.028737716992863316
TRGP,2017-02-21,2018-01-02,35.737979888916016,0.01562000820409093,-0.09277379285065679
AFL,2026-02-25,2026-02-25,111.86076354980467,-0.03762010621605205,0.026722818881756538
AFL,2025-02-26,2025-02-26,103.0310516357422,0.04697098430847335,-0.030780068193635768
AFL,2024-02-22,2024-02-22,75.97762298583984,0.05662286405666528,0.10687621949364257
AFL,2023-02-24,2023-02-24,63.88787078857422,-0.07962677176769617,-0.05172505415928108
AFL,2022-02-23,2022-02-23,55.94718170166016,0.04708555402626624,-0.06658130951005925
AFL,2021-02-23,2021-02-23,43.70246887207031,0.012992282002803668,0.1510687531969197
